Mes_Servicio,DMU_Servicio,CEM_Porcentaje_Error,servicio,DOE_Prom_Mensual,MA_Potencial_Perdido,Segmento
5.0,0.0,0.7407407407407408,5400.0,195.0,0.0,AGRICOLA
6.0,126.0,2.1,6000.0,195.0,0.0,AGRICOLA
6.0,0.0,0.15789473684210525,5700.0,195.0,0.0,AGRICOLA
9.0,28.0,0.717948717948718,3900.0,195.0,0.0,AGRICOLA
12.0,0.0,0.17333333333333334,7500.0,195.0,0.0,AGRICOLA
3.0,130.0,1.5476190476190477,8400.0,195.0,0.0,AGRICOLA
4.0,10.0,0.11494252873563218,8700.0,195.0,0.0,AGRICOLA
7.0,0.0,0.2222222222222222,8100.0,195.0,0.0,AGRICOLA
9.0,0.0,0.43010752688172044,9300.0,195.0,0.0,AGRICOLA
10.0,0.0,0.5128205128205128,7800.0,195.0,0.0,AGRICOLA
10.0,0.0,0.4166666666666667,9600.0,195.0,0.0,AGRICOLA
12.0,0.0,0.4444444444444444,9000.0,195.0,0.0,AGRICOLA
5.0,168.0,3.294117647058824,5100.0,248.95833333333334,0.0,AGRICOLA
6.0,0.0,0.393939393939394,3300.0,248.95833333333334,0.0,AGRICOLA
6.0,69.0,2.875,2400.0,248.95833333333334,0.0,AGRICOLA
6.0,0.0,0.25925925925925924,2700.0,248.95833333333334,0.0,AGRICOLA
11.0,0.0,0.5,5400.0,248.95833333333334,0.0,AGRICOLA
12.0,0.0,0.45614035087719296,5700.0,248.95833333333334,0.0,AGRICOLA
1.0,0.0,0.45977011494252873,8700.0,248.95833333333334,0.0,AGRICOLA
1.0,0.0,0.6349206349206349,6300.0,248.95833333333334,0.0,AGRICOLA
2.0,33.0,0.5,6600.0,248.95833333333334,0.0,AGRICOLA
3.0,0.0,0.5217391304347827,6900.0,248.95833333333334,0.0,AGRICOLA
3.0,0.0,0.33333333333333337,7200.0,248.95833333333334,0.0,AGRICOLA
8.0,115.0,1.369047619047619,8400.0,248.95833333333334,0.0,AGRICOLA
9.0,0.0,0.4444444444444444,9000.0,248.95833333333334,0.0,AGRICOLA
10.0,0.0,0.15053763440860216,9300.0,248.95833333333334,0.0,AGRICOLA
11.0,0.0,0.45679012345679015,8100.0,248.95833333333334,0.0,AGRICOLA
12.0,0.0,0.6666666666666667,6000.0,248.95833333333334,0.0,AGRICOLA
